scanningDistance,errScanDist,normalizedCharge,errorCharge
0,0.88,17.6913,0.462021
1,0.88,18.0109,0.462021
2,0.88,17.0952,0.462021
3,0.88,13.9576,0.462021
4,0.88,8.07544,0.462021
5,0.88,6.06232,0.462021
6,0.88,5.52871,0.462021
7,0.88,2.60715,0.462021
8,0.88,4.61091,0.462021
9,0.88,1.44727,0.462021
10,0.88,1.592,0.462021
11,0.88,-0.0223589,0.462021
12,0.88,-0.288381,0.462021
13,0.88,2.52854,0.462021
14,0.88,5.88323,0.462021
15,0.88,-0.0124677,0.462021
16,0.88,2.94501,0.462021
17,0.88,0.499274,0.462021
18,0.88,-0.109818,0.462021
19,0.88,1.66956,0.462021
20,0.88,4.1252,0.462021
21,0.88,1.1875,0.462021
22,0.88,2.53427,0.462021
23,0.88,3.4073,0.462021
24,0.88,4.11114,0.462021
25,0.88,5.92957,0.462021
26,0.88,2.72636,0.462021
27,0.88,4.07105,0.462021
28,0.88,4.70201,0.462021
29,0.88,4.84465,0.462021
30,0.88,2.3911,0.462021
31,0.88,2.71231,0.462021
32,0.88,9.28165,0.462021
33,0.88,7.33568,0.462021
34,0.88,9.66845,0.462021
35,0.88,6.9645,0.462021
36,0.88,8.60905,0.462021
37,0.88,7.85523,0.462021
38,0.88,10.3541,0.462021
39,0.88,9.7252,0.462021
40,0.88,13.0986,0.462021
41,0.88,17.2686,0.462021
42,0.88,17.6429,0.462021
43,0.88,15.7583,0.462021
44,0.88,16.8037,0.462021
45,0.88,24.5631,0.462021
46,0.88,22.2496,0.462021
47,0.88,21.0314,0.462021
48,0.88,25.6782,0.462021
49,0.88,32.2049,0.462021
50,0.88,39.3786,0.462021
51,0.88,51.1049,0.462021
52,0.88,63.4643,0.462021
53,0.88,81.4934,0.462021
54,0.88,101.163,0.462021
55,0.88,115.93,0.462021
56,0.88,133.843,0.462021
57,0.88,150.24,0.462021
58,0.88,169.584,0.462021
59,0.88,182.945,0.462021
60,0.88,192.857,0.462021
61,0.88,201.585,0.462021
62,0.88,209.824,0.462021
63,0.88,218.502,0.462021
64,0.88,221.248,0.462021
65,0.88,222.492,0.462021
66,0.88,230.562,0.462021
67,0.88,226.464,0.462021
68,0.88,225.464,0.462021
69,0.88,228.979,0.462021
70,0.88,225.528,0.462021
71,0.88,230.776,0.462021
72,0.88,231.345,0.462021
73,0.88,230.755,0.462021
74,0.88,232.646,0.462021
75,0.88,232.868,0.462021
76,0.88,231.809,0.462021
77,0.88,235.284,0.462021
78,0.88,235.813,0.462021
79,0.88,233.524,0.462021
80,0.88,234.974,0.462021
81,0.88,237.011,0.462021
82,0.88,239.699,0.462021
83,0.88,239.546,0.462021
84,0.88,235.226,0.462021
85,0.88,240.008,0.462021
86,0.88,236.63,0.462021
87,0.88,239.462,0.462021
88,0.88,238.692,0.462021
89,0.88,239.337,0.462021
90,0.88,237.899,0.462021
91,0.88,241.128,0.462021
92,0.88,238.302,0.462021
93,0.88,237.437,0.462021
94,0.88,239.373,0.462021
95,0.88,237.25,0.462021
96,0.88,243.406,0.462021
97,0.88,237.413,0.462021
98,0.88,240.506,0.462021
99,0.88,236.074,0.462021
100,0.88,240.035,0.462021
101,0.88,242.591,0.462021
102,0.88,240.323,0.462021
103,0.88,237.195,0.462021
104,0.88,242.255,0.462021
105,0.88,238.258,0.462021
106,0.88,240.938,0.462021
107,0.88,239.359,0.462021
108,0.88,236.789,0.462021
109,0.88,241.125,0.462021
110,0.88,237.278,0.462021
111,0.88,236.451,0.462021
112,0.88,235.932,0.462021
113,0.88,235.091,0.462021
114,0.88,238.328,0.462021
115,0.88,238.679,0.462021
116,0.88,236.983,0.462021
117,0.88,233.455,0.462021
118,0.88,233.459,0.462021
119,0.88,235.532,0.462021
120,0.88,234.94,0.462021
121,0.88,233.255,0.462021
122,0.88,235.415,0.462021
123,0.88,232.595,0.462021
124,0.88,227.703,0.462021
125,0.88,229.55,0.462021
126,0.88,227.827,0.462021
127,0.88,226.944,0.462021
128,0.88,226.74,0.462021
129,0.88,223.102,0.462021
130,0.88,224.126,0.462021
131,0.88,225.301,0.462021
132,0.88,219.602,0.462021
133,0.88,219.376,0.462021
134,0.88,218.252,0.462021
135,0.88,212.863,0.462021
136,0.88,211.11,0.462021
137,0.88,207.31,0.462021
138,0.88,201.103,0.462021
139,0.88,193.199,0.462021
140,0.88,186.937,0.462021
141,0.88,180.436,0.462021
142,0.88,166.858,0.462021
143,0.88,155.933,0.462021
144,0.88,142.902,0.462021
145,0.88,130.657,0.462021
146,0.88,115.309,0.462021
147,0.88,104.683,0.462021
148,0.88,94.8346,0.462021
149,0.88,89.534,0.462021
150,0.88,81.2357,0.462021
151,0.88,75.0542,0.462021
152,0.88,70.8458,0.462021
153,0.88,69.0648,0.462021
154,0.88,65.8283,0.462021
155,0.88,67.2704,0.462021
156,0.88,67.5301,0.462021
157,0.88,68.2907,0.462021
158,0.88,62.5798,0.462021
159,0.88,62.4018,0.462021
160,0.88,61.1289,0.462021
161,0.88,59.9009,0.462021
162,0.88,57.8773,0.462021
163,0.88,61.3117,0.462021
164,0.88,58.3063,0.462021
165,0.88,54.6231,0.462021
166,0.88,52.0805,0.462021
167,0.88,51.813,0.462021
168,0.88,47.4754,0.462021
169,0.88,46.6029,0.462021
170,0.88,43.3898,0.462021
171,0.88,42.928,0.462021
172,0.88,44.8625,0.462021
173,0.88,39.515,0.462021
174,0.88,35.9729,0.462021
175,0.88,34.7594,0.462021
176,0.88,33.5454,0.462021
177,0.88,32.0721,0.462021
178,0.88,28.2343,0.462021
179,0.88,34.0249,0.462021
180,0.88,26.0353,0.462021
181,0.88,23.4235,0.462021
182,0.88,17.999,0.462021
183,0.88,17.2321,0.462021
184,0.88,14.057,0.462021
185,0.88,11.5202,0.462021
186,0.88,6.20912,0.462021
187,0.88,1.16511,0.462021
188,0.88,1.72475,0.462021
189,0.88,-0.878732,0.462021
190,0.88,-2.39782,0.462021
191,0.88,0.256158,0.462021
192,0.88,0.226484,0.462021
193,0.88,-7.78282,0.462021
194,0.88,-2.0485,0.462021
195,0.88,-0.640301,0.462021
196,0.88,-2.45769,0.462021
197,0.88,0.085404,0.462021
198,0.88,-3.83778,0.462021
199,0.88,-0.725678,0.462021
200,0.88,-2.93142,0.462021
201,0.88,-2.66749,0.462021
202,0.88,-6.359,0.462021
203,0.88,-1.55862,0.462021
204,0.88,0.521659,0.462021
205,0.88,-5.1252,0.462021
206,0.88,-3.7904,0.462021
207,0.88,-0.604901,0.462021
208,0.88,-4.66083,0.462021
209,0.88,-3.07407,0.462021
210,0.88,-3.85756,0.462021
211,0.88,-5.45005,0.462021
212,0.88,-5.73793,0.462021
213,0.88,-6.04352,0.462021
214,0.88,-6.05133,0.462021
215,0.88,0.770503,0.462021
216,0.88,-5.43755,0.462021
217,0.88,-4.29329,0.462021
218,0.88,-5.90556,0.462021
219,0.88,-7.60738,0.462021
220,0.88,-7.78022,0.462021
221,0.88,-9.35501,0.462021
222,0.88,-12.2089,0.462021
223,0.88,-11.7289,0.462021
224,0.88,-12.3317,0.462021
225,0.88,-10.7408,0.462021
226,0.88,-12.4208,0.462021
227,0.88,-12.4171,0.462021
228,0.88,-12.2026,0.462021
229,0.88,-13.0694,0.462021
230,0.88,-9.70536,0.462021
231,0.88,-13.5452,0.462021
232,0.88,-13.7639,0.462021
233,0.88,-14.4755,0.462021
234,0.88,-11.0006,0.462021
235,0.88,-14.4063,0.462021
236,0.88,-15.7015,0.462021
237,0.88,-12.8216,0.462021
238,0.88,-15.2335,0.462021
239,0.88,-15.2773,0.462021
240,0.88,-15.9056,0.462021
241,0.88,-14.5031,0.462021
242,0.88,-16.8874,0.462021
243,0.88,-11.8356,0.462021
244,0.88,-13.2459,0.462021
245,0.88,-18.4961,0.462021
246,0.88,-15.9952,0.462021
247,0.88,-15.5209,0.462021
248,0.88,-15.4678,0.462021
249,0.88,-17.4393,0.462021
250,0.88,-14.6364,0.462021
251,0.88,-8.4752,0.462021
252,0.88,-13.968,0.462021
253,0.88,-12.5868,0.462021
254,0.88,-15.84,0.462021
255,0.88,-14.7754,0.462021
256,0.88,-13.9461,0.462021
257,0.88,-12.5894,0.462021
258,0.88,-11.655,0.462021
259,0.88,-16.5163,0.462021
260,0.88,-15.3663,0.462021
261,0.88,-11.3156,0.462021
262,0.88,-12.8456,0.462021
263,0.88,-12.2583,0.462021
