scanningDistance,errScanDist,normalizedCharge,errorCharge
0,0.88,-1.8262,0.408629
1,0.88,-2.427,0.408629
2,0.88,-3.82495,0.408629
3,0.88,-0.819537,0.408629
4,0.88,-2.50934,0.408629
5,0.88,-2.35407,0.408629
6,0.88,-2.03412,0.408629
7,0.88,-1.02231,0.408629
8,0.88,-1.39714,0.408629
9,0.88,-1.68091,0.408629
10,0.88,-0.174478,0.408629
11,0.88,-1.50981,0.408629
12,0.88,-2.95068,0.408629
13,0.88,-2.96556,0.408629
14,0.88,-1.50141,0.408629
15,0.88,-1.02136,0.408629
16,0.88,-0.218738,0.408629
17,0.88,-0.317235,0.408629
18,0.88,0.251338,0.408629
19,0.88,-0.30718,0.408629
20,0.88,0.737883,0.408629
21,0.88,0.214837,0.408629
22,0.88,-2.06674,0.408629
23,0.88,-0.269095,0.408629
24,0.88,-0.723019,0.408629
25,0.88,-0.98003,0.408629
26,0.88,-2.08321,0.408629
27,0.88,-0.934819,0.410653
28,0.88,0.354348,0.408629
29,0.88,0.457991,0.408629
30,0.88,-0.998716,0.408629
31,0.88,-0.71431,0.408629
32,0.88,-0.805681,0.408629
33,0.88,-2.57102,0.408629
34,0.88,1.36164,0.408629
35,0.88,-1.04781,0.408629
36,0.88,-2.86255,0.408629
37,0.88,0.654905,0.408629
38,0.88,-1.42231,0.408629
39,0.88,-0.343364,0.408629
40,0.88,-0.915421,0.408629
41,0.88,-0.215492,0.410653
42,0.88,-0.257456,0.408629
43,0.88,-1.60989,0.408629
44,0.88,-0.985176,0.408629
45,0.88,-3.66739,0.408629
46,0.88,-0.46506,0.408629
47,0.88,-1.56824,0.408629
48,0.88,-2.51773,0.408629
49,0.88,-1.54694,0.408629
50,0.88,-0.365929,0.408629
51,0.88,-0.431172,0.408629
52,0.88,-0.839569,0.408629
53,0.88,-1.39619,0.408629
54,0.88,-1.36325,0.408629
55,0.88,-1.6722,0.408629
56,0.88,-2.06706,0.408629
57,0.88,-1.19531,0.408629
58,0.88,-2.84094,0.408629
59,0.88,-2.10482,0.408629
60,0.88,-3.67871,0.408629
61,0.88,-6.30218,0.408629
62,0.88,-5.20351,0.408629
63,0.88,-7.33917,0.408629
64,0.88,-6.00835,0.408629
65,0.88,-7.76142,0.408629
66,0.88,-8.67766,0.408629
67,0.88,-7.65936,0.408629
68,0.88,-8.91107,0.408629
69,0.88,-10.1844,0.408629
70,0.88,-9.85606,0.408629
71,0.88,-9.05732,0.408629
72,0.88,-11.0144,0.408629
73,0.88,-11.1975,0.408629
74,0.88,-10.977,0.408629
75,0.88,-10.955,0.408629
76,0.88,-10.8139,0.408629
77,0.88,-10.8463,0.408629
78,0.88,-10.555,0.408629
79,0.88,-11.7079,0.408629
80,0.88,-11.5759,0.408629
81,0.88,-12.5131,0.408629
82,0.88,-10.5938,0.408629
83,0.88,-12.0388,0.408629
84,0.88,-11.468,0.408629
85,0.88,-11.3847,0.408629
86,0.88,-9.89834,0.408629
87,0.88,-12.5331,0.408629
88,0.88,-10.7568,0.408629
89,0.88,-10.2157,0.408629
90,0.88,-10.8604,0.408629
91,0.88,-11.7047,0.408629
92,0.88,-11.7412,0.408629
93,0.88,-10.7103,0.408629
94,0.88,-10.0023,0.408629
95,0.88,-12.0792,0.408629
96,0.88,-10.4227,0.408629
97,0.88,-10.1779,0.408629
98,0.88,-12.0996,0.408629
99,0.88,-11.571,0.408629
100,0.88,-12.4156,0.408629
101,0.88,-11.1597,0.408629
102,0.88,-9.99003,0.408629
103,0.88,-10.4071,0.408629
104,0.88,-11.9881,0.408629
105,0.88,-9.94062,0.410653
106,0.88,-10.5482,0.408629
107,0.88,-10.1614,0.408629
108,0.88,-9.06634,0.408629
109,0.88,-9.71623,0.408629
110,0.88,-11.2972,0.408629
111,0.88,-12.9328,0.408629
112,0.88,-11.1972,0.408629
113,0.88,-11.8632,0.408629
114,0.88,-10.9854,0.408629
115,0.88,-8.83324,0.408629
116,0.88,-11.3734,0.410653
117,0.88,-10.085,0.408629
118,0.88,-10.7465,0.408629
119,0.88,-11.2269,0.408629
120,0.88,-10.1276,0.408629
121,0.88,-12.0912,0.408629
122,0.88,-11.6424,0.408629
123,0.88,-11.1981,0.408629
124,0.88,-9.44956,0.408629
125,0.88,-11.8087,0.408629
126,0.88,-10.9089,0.408629
127,0.88,-9.1855,0.408629
128,0.88,-10.6231,0.408629
129,0.88,-8.59143,0.408629
130,0.88,-10.0511,0.408629
131,0.88,-11.8287,0.408629
132,0.88,-9.49477,0.408629
133,0.88,-10.9554,0.408629
134,0.88,-10.8466,0.408629
135,0.88,-7.91217,0.408629
136,0.88,-9.89026,0.408629
137,0.88,-9.64394,0.408629
138,0.88,-9.14093,0.408629
139,0.88,-11.4335,0.408629
140,0.88,-10.9847,0.408629
141,0.88,-8.47362,0.408629
142,0.88,-9.06959,0.410653
143,0.88,-7.83695,0.408629
144,0.88,-8.78582,0.408629
145,0.88,-8.85232,0.408629
146,0.88,-8.36998,0.408629
147,0.88,-7.39467,0.408629
148,0.88,-7.34138,0.408629
149,0.88,-6.11294,0.408629
